# Reviewed-protein consensus per KO; generated by scripts/build_kegg_swissprot_consensus.py.
# Swiss-Prot 2026_03 (uniprot_sprot.dat.gz sha256 c87208822a56e8ae); KEGG gene links sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicate	agreeing	proteins
K00170	oxidoreductase	8	8
K00174	oxidoreductase	11	11
K00175	oxidoreductase	11	11
K00179	oxidoreductase	6	6
K00180	oxidoreductase	6	6
K00181	transferase	6	6
K00186	oxidoreductase	5	5
K00187	oxidoreductase	5	5
K00188	oxidoreductase	5	5
K00189	oxidoreductase	5	5
K00192	oxidoreductase	13	14
K00193	transferase	10	10
K00197	methyltransferase	8	8
K00197	transferase	8	8
K00198	oxidoreductase	10	10
K00202	oxidoreductase	7	8
K00207	nad_binding	11	11
K00207	oxidoreductase	11	11
K00208	nad_binding	30	30
K00208	oxidoreductase	30	30
K00209	nad_binding	109	109
K00209	oxidoreductase	109	109
K00213	nad_binding	9	9
K00213	oxidoreductase	9	9
K00215	nad_binding	555	555
K00215	oxidoreductase	555	555
K00218	nad_binding	8	8
K00218	oxidoreductase	8	8
K00222	nad_binding	12	12
K00222	oxidoreductase	12	12
K00223	nad_binding	6	6
K00223	oxidoreductase	6	6
K00226	oxidoreductase	28	28
K00227	oxidoreductase	18	18
K00227	oxygenase	18	18
K00228	oxidoreductase	237	237
K00230	oxidoreductase	5	5
K00231	oxidoreductase	17	17
K00232	oxidoreductase	33	33
K00234	oxidoreductase	19	19
K00235	oxidoreductase	22	22
K00239	oxidoreductase	11	11
K00240	oxidoreductase	10	10
K00244	oxidoreductase	5	5
K00245	oxidoreductase	7	7
K00248	oxidoreductase	7	7
K00249	flavin_binding	10	12
K00249	oxidoreductase	12	12
K00253	flavin_binding	9	9
K00253	oxidoreductase	9	9
K00254	oxidoreductase	384	384
K00257	oxidoreductase	5	5
K00259	nad_binding	29	29
K00259	oxidoreductase	29	29
K00260	nad_binding	9	9
K00260	oxidoreductase	9	9
K00261	nad_binding	32	32
K00261	oxidoreductase	32	32
K00262	nad_binding	19	19
K00262	oxidoreductase	19	19
K00265	nad_binding	5	5
K00265	oxidoreductase	5	5
K00266	nad_binding	6	6
K00266	oxidoreductase	6	6
K00272	enzyme	8	9
K00272	halogenase	8	9
K00272	oxidase	8	9
K00272	oxidoreductase	9	9
K00273	oxidoreductase	19	19
K00274	oxidoreductase	23	23
K00275	oxidoreductase	354	355
K00276	oxidoreductase	23	24
K00278	oxidoreductase	42	42
K00279	oxidoreductase	15	15
K00280	oxidoreductase	15	15
K00281	oxidoreductase	244	244
K00282	oxidoreductase	168	168
K00283	oxidoreductase	116	116
K00284	oxidoreductase	6	6
K00285	oxidoreductase	170	170
K00286	nad_binding	51	51
K00286	oxidoreductase	51	51
K00287	nad_binding	50	50
K00287	oxidoreductase	50	50
K00288	hydrolase	9	9
K00288	ligase	9	9
K00288	nad_binding	9	9
K00288	oxidoreductase	9	9
K00288	synthetase	9	9
K00289	nad_binding	7	7
K00289	oxidoreductase	7	7
K00290	nad_binding	8	9
K00290	oxidoreductase	8	9
K00294	nad_binding	54	54
K00294	oxidoreductase	54	54
K00297	nad_binding	13	13
K00297	oxidoreductase	13	13
