# Reviewed-protein consensus per KO; generated by scripts/build_kegg_swissprot_consensus.py.
# Swiss-Prot 2026_03 (uniprot_sprot.dat.gz sha256 c87208822a56e8ae); KEGG gene links sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicate	agreeing	proteins
K01613	decarboxylase	470	470
K01613	lyase	470	470
K01616	decarboxylase	13	14
K01616	lyase	13	14
K01616	oxidoreductase	14	14
K01616	transferase	14	14
K01619	lyase	334	334
K01620	lyase	8	9
K01621	lyase	40	40
K01622	carbohydrate_active	9	11
K01622	carbohydrate_esterase	10	11
K01622	enzyme	10	11
K01622	esterase	10	11
K01622	hydrolase	11	11
K01622	lyase	11	11
K01622	phosphatase	11	11
K01623	lyase	70	70
K01624	lyase	55	55
K01625	lyase	11	11
K01626	transferase	31	31
K01627	transferase	316	316
K01628	lyase	13	13
K01629	lyase	65	65
K01630	lyase	43	43
K01633	lyase	31	31
K01634	lyase	13	13
K01635	lyase	41	41
K01637	lyase	41	41
K01638	transferase	89	89
K01639	lyase	82	82
K01640	lyase	12	12
K01641	transferase	67	67
K01644	lyase	6	6
K01647	transferase	63	63
K01648	transferase	18	18
K01649	transferase	414	415
K01652	transferase	27	29
K01653	transferase	21	26
K01655	transferase	5	5
K01657	lyase	48	48
K01658	lyase	28	28
K01659	transferase	13	14
K01661	lyase	20	20
K01662	transferase	515	515
K01666	lyase	126	126
K01667	lyase	49	49
K01668	lyase	9	9
K01669	lyase	18	19
K01671	lyase	5	5
K01672	dehydratase	38	40
K01672	lyase	38	40
K01673	dehydratase	29	29
K01673	lyase	29	29
K01674	dehydratase	13	13
K01674	lyase	13	13
K01675	dehydratase	6	6
K01675	lyase	6	6
K01676	dehydratase	7	7
K01676	lyase	7	7
K01679	dehydratase	98	98
K01679	lyase	98	98
K01681	dehydratase	23	23
K01681	lyase	23	23
K01682	dehydratase	6	6
K01682	lyase	6	6
K01684	dehydratase	45	45
K01684	lyase	45	45
K01686	dehydratase	124	124
K01686	lyase	124	124
K01687	dehydratase	571	571
K01687	lyase	571	571
K01689	dehydratase	862	863
K01689	lyase	862	863
K01690	dehydratase	7	7
K01690	lyase	7	7
K01692	dehydratase	21	21
K01692	lyase	21	21
K01693	dehydratase	472	472
K01693	lyase	472	472
K01695	dehydratase	522	522
K01695	lyase	522	522
K01696	dehydratase	405	405
K01696	lyase	405	405
K01697	dehydratase	11	13
K01697	lyase	11	13
K01698	dehydratase	47	47
K01698	lyase	47	47
K01703	dehydratase	527	528
K01703	lyase	527	528
K01704	dehydratase	494	494
K01704	lyase	494	494
K01705	dehydratase	16	16
K01705	lyase	16	16
K01706	dehydratase	5	5
K01706	lyase	5	5
K01707	dehydratase	57	57
K01707	lyase	57	57
K01710	dehydratase	25	25
K01710	lyase	25	25
K01711	dehydratase	17	17
K01711	lyase	17	17
K01712	dehydratase	164	164
K01712	lyase	164	164
K01714	lyase	483	483
K01716	dehydratase	189	189
K01716	isomerase	189	189
K01716	lyase	189	189
K01719	dehydratase	16	18
K01719	lyase	16	18
K01720	dehydratase	13	13
K01720	lyase	13	13
K01723	dehydratase	7	7
K01723	lyase	7	7
K01724	dehydratase	252	252
K01724	lyase	252	252
K01725	dehydratase	109	109
K01725	lyase	109	109
K01727	lyase	5	5
K01728	lyase	43	43
K01729	lyase	15	15
K01732	lyase	19	19
K01733	lyase	26	26
K01734	lyase	201	201
K01735	lyase	520	520
K01736	lyase	709	709
K01737	lyase	28	28
K01738	transferase	49	50
K01739	transferase	14	14
K01741	glycosidase	9	9
K01741	hydrolase	9	9
K01741	lyase	9	9
K01744	lyase	10	10
K01745	lyase	195	195
K01749	transferase	467	467
K01750	lyase	5	5
K01752	lyase	12	12
K01753	lyase	107	107
K01754	lyase	49	49
K01755	lyase	599	601
K01756	lyase	46	46
K01758	lyase	9	9
K01759	lyase	25	27
K01760	lyase	14	16
K01761	carbohydrate_active	6	6
K01761	enzyme	6	6
K01761	lyase	6	6
K01762	lyase	12	12
K01763	lyase	6	6
K01764	lyase	11	11
K01766	sulfurtransferase	6	6
K01766	transferase	6	6
K01768	lyase	14	14
K01769	lyase	21	21
K01770	lyase	428	428
K01772	lyase	419	419
K01775	isomerase	351	351
K01775	racemase	351	351
K01776	isomerase	329	329
K01776	racemase	329	329
K01778	isomerase	418	418
K01778	racemase	418	418
K01782	dehydratase	81	81
K01782	dehydrogenase	81	81
K01782	isomerase	81	81
K01782	lyase	81	81
K01782	nad_binding	81	81
K01782	oxidoreductase	81	81
K01782	racemase	78	81
K01783	isomerase	44	45
K01783	racemase	44	45
K01784	isomerase	42	44
K01784	racemase	42	44
K01785	isomerase	15	15
K01785	racemase	15	15
K01787	isomerase	5	5
K01787	racemase	5	5
K01788	isomerase	140	140
K01788	racemase	140	140
K01790	isomerase	11	12
K01790	racemase	11	12
K01791	isomerase	12	12
K01791	racemase	12	12
K01793	isomerase	5	5
K01793	racemase	5	5
K01800	isomerase	13	15
K01802	isomerase	44	44
K01803	isomerase	599	599
K01804	isomerase	113	113
K01805	isomerase	166	166
K01807	isomerase	459	459
K01808	isomerase	19	19
K01809	isomerase	26	26
K01810	isomerase	587	587
K01812	isomerase	131	131
K01813	isomerase	72	72
K01814	isomerase	582	583
K01815	isomerase	91	91
K01816	isomerase	8	8
K01817	isomerase	301	301
K01818	isomerase	60	60
K01819	isomerase	110	110
K01821	isomerase	60	60
K01823	isomerase	263	263
K01824	isomerase	7	7
K01825	dehydratase	113	113
K01825	dehydrogenase	113	113
K01825	isomerase	113	113
K01825	lyase	113	113
K01825	nad_binding	113	113
K01825	oxidoreductase	113	113
K01825	racemase	113	113
K01827	isomerase	5	5
K01830	isomerase	10	10
K01831	dehydratase	5	5
K01831	enzyme	5	5
K01831	isomerase	5	5
K01831	lyase	5	5
K01832	dehydratase	5	5
K01832	isomerase	5	5
K01832	lyase	5	5
K01834	isomerase	437	437
K01834	mutase	437	437
K01835	isomerase	41	41
K01835	mutase	41	41
K01836	isomerase	7	7
K01836	mutase	7	7
K01837	isomerase	5	5
K01837	mutase	5	5
K01839	isomerase	274	275
K01839	mutase	274	275
K01840	isomerase	10	10
K01840	mutase	10	10
K01843	isomerase	7	7
K01843	mutase	7	7
K01845	isomerase	665	666
K01845	mutase	665	666
K01846	isomerase	11	11
K01846	mutase	11	11
K01847	isomerase	16	16
K01847	mutase	16	16
K01850	isomerase	8	8
K01850	mutase	8	8
K01852	isomerase	11	11
K01852	mutase	11	11
K01854	isomerase	5	5
K01854	mutase	5	5
K01855	isomerase	6	6
K01855	mutase	6	6
K01858	isomerase	27	29
K01859	isomerase	12	12
K01866	ligase	539	539
K01866	translation	539	539
K01866	trna_synthetase	539	539
K01867	ligase	165	165
K01867	translation	165	165
K01867	trna_synthetase	165	165
K01868	ligase	693	693
K01868	translation	693	693
K01868	trna_synthetase	693	693
K01869	ligase	757	757
K01869	translation	757	757
K01869	trna_synthetase	757	757
K01870	ligase	566	566
K01870	translation	566	566
K01870	trna_synthetase	566	566
K01872	ligase	707	710
K01872	translation	707	710
K01872	trna_synthetase	707	710
K01873	ligase	333	333
K01873	translation	333	333
K01873	trna_synthetase	333	333
K01874	ligase	492	492
K01874	translation	492	492
K01874	trna_synthetase	492	492
K01875	ligase	814	815
K01875	translation	815	815
K01875	trna_synthetase	815	815
K01876	ligase	693	693
K01876	translation	693	693
K01876	trna_synthetase	693	693
K01878	ligase	387	387
K01878	translation	387	387
K01878	trna_synthetase	387	387
K01879	ligase	344	344
K01879	translation	344	344
K01879	trna_synthetase	344	344
K01880	ligase	116	116
K01880	translation	116	116
K01880	trna_synthetase	116	116
K01881	ligase	830	830
K01881	translation	830	830
K01881	trna_synthetase	830	830
K01883	ligase	732	732
K01883	translation	732	732
K01883	trna_synthetase	732	732
K01885	ligase	742	742
K01885	translation	742	742
K01885	trna_synthetase	742	742
K01886	ligase	151	151
K01886	translation	151	151
K01886	trna_synthetase	151	151
K01887	ligase	736	736
K01887	translation	736	736
K01887	trna_synthetase	736	736
K01889	ligase	655	655
K01889	translation	655	655
K01889	trna_synthetase	655	655
K01890	ligase	334	334
K01890	translation	334	334
K01890	trna_synthetase	334	334
K01892	ligase	690	696
K01892	translation	690	696
K01892	trna_synthetase	690	696
K01893	ligase	283	283
K01893	translation	283	283
K01893	trna_synthetase	283	283
K01894	ligase	77	77
K01894	translation	77	77
K01894	trna_synthetase	77	77
K01895	ligase	190	190
K01895	synthetase	190	190
K01896	ligase	15	15
K01896	synthetase	15	15
K01897	ligase	52	52
K01897	synthetase	52	52
K01899	ligase	14	14
K01899	synthetase	14	14
K01900	ligase	15	15
K01900	synthetase	15	15
K01902	ligase	28	28
K01902	synthetase	28	28
K01903	ligase	511	511
K01903	synthetase	511	511
K01904	ligase	23	23
K01904	synthetase	23	23
K01906	ligase	50	50
K01906	synthetase	50	50
K01907	ligase	8	8
K01907	synthetase	8	8
K01908	ligase	7	8
K01908	synthetase	7	8
K01909	ligase	6	6
K01909	synthetase	6	6
K01911	ligase	46	46
K01911	synthetase	46	46
K01914	ligase	152	152
K01914	synthetase	152	152
K01915	ligase	106	106
K01915	synthetase	106	106
K01916	ligase	290	290
K01916	synthetase	290	290
K01918	ligase	531	531
K01918	synthetase	531	531
K01919	ligase	111	111
K01919	synthetase	111	111
K01920	ligase	50	50
K01920	synthetase	50	50
K01921	ligase	583	584
K01921	synthetase	583	584
K01922	ligase	8	8
K01922	synthetase	7	8
K01923	ligase	521	521
K01923	synthetase	521	521
K01924	ligase	672	672
K01924	synthetase	672	672
K01925	ligase	469	469
K01925	synthetase	469	469
K01928	ligase	165	165
K01928	synthetase	165	165
K01929	ligase	16	16
K01929	synthetase	16	16
K01930	ligase	12	12
K01930	synthetase	12	12
K01931	transferase	5	5
K01933	ligase	468	468
K01933	synthetase	468	468
K01935	ligase	248	248
K01935	synthetase	248	248
K01937	ligase	685	685
K01937	synthetase	685	685
K01938	ligase	295	295
K01938	synthetase	295	295
K01939	ligase	782	782
K01939	synthetase	781	782
K01940	ligase	594	595
K01940	synthetase	594	595
K01942	ligase	6	6
K01942	synthetase	6	6
K01945	ligase	102	103
K01945	synthetase	102	103
K01950	ligase	23	23
K01950	synthetase	23	23
K01951	ligase	656	657
K01951	synthetase	656	657
K01952	ligase	65	65
K01952	synthetase	65	65
K01953	ligase	24	25
K01953	synthetase	24	25
K01955	ligase	245	245
K01955	synthetase	245	245
K01956	ligase	188	188
K01956	synthetase	188	188
K01958	biotin_binding	8	8
K01958	carboxylase	8	8
K01958	ligase	8	8
K01961	ligase	12	12
K01961	synthetase	12	12
K01962	transferase	454	454
K01963	transferase	441	441
K01965	biotin_binding	7	7
K01965	carboxylase	7	7
K01965	ligase	7	7
K01966	biotin_binding	7	7
K01966	carboxylase	7	7
K01966	ligase	7	7
K01968	ligase	9	9
K01969	biotin_binding	7	8
K01969	carboxylase	7	8
K01969	ligase	7	8
K01971	ligase	6	6
K01971	ligase_dna	6	6
K01972	ligase	861	861
K01972	ligase_dna	861	861
K01974	ligase	83	83
K01974	ligase_dna	83	83
K01975	hydrolase	11	11
K01975	phosphodiesterase	11	11
K01988	carbohydrate_active	5	5
K01988	enzyme	5	5
K01988	glycosyltransferase	5	5
K01988	transferase	5	5
K02006	membrane	51	53
K02006	translocase	52	53
K02006	transporter	52	53
K02010	ion_transporter	35	37
K02010	translocase	36	37
K02010	transporter	36	37
K02017	translocase	70	71
K02017	transporter	70	71
K02031	translocase	21	24
K02031	transporter	21	24
K02032	translocase	20	23
K02032	transporter	20	23
K02036	translocase	367	367
K02036	transporter	367	367
K02041	translocase	129	131
K02041	transporter	129	131
K02045	translocase	58	58
K02045	transporter	58	58
K02062	atp_binding	44	46
K02062	translocase	46	46
K02062	transporter	46	46
K02071	translocase	254	254
K02071	transporter	254	254
K02083	hydrolase	6	6
K02087	kinase	13	13
K02087	serine_threonine_kinase	13	13
K02087	transferase	13	13
K02089	kinase	7	7
K02089	serine_threonine_kinase	7	7
K02089	transferase	7	7
K02090	kinase	7	7
K02090	serine_threonine_kinase	7	7
K02090	transferase	7	7
K02111	translocase	807	807
K02111	transporter	807	807
K02112	translocase	778	778
K02112	transporter	778	778
K02117	translocase	130	130
K02117	transporter	130	130
K02133	translocase	20	20
K02133	transporter	20	20
K02145	translocase	23	23
K02145	transporter	23	23
K02169	methyltransferase	56	56
K02169	transferase	56	56
K02170	esterase	105	105
K02170	hydrolase	105	105
K02182	ligase	42	42
K02182	synthetase	42	42
K02187	cysteine_protease	11	11
K02187	hydrolase	11	11
K02187	protease	11	11
K02188	methyltransferase	180	180
K02188	transferase	180	180
K02191	methyltransferase	27	27
K02191	transferase	27	27
K02193	atp_binding	120	120
K02193	translocase	120	120
K02193	transporter	120	120
K02201	nucleotidyltransferase	19	19
K02201	transferase	19	19
K02202	kinase	12	12
K02202	serine_threonine_kinase	12	12
K02202	transferase	12	12
K02204	atp_binding	94	94
K02204	kinase	94	94
K02204	transferase	94	94
K02206	kinase	13	13
K02206	serine_threonine_kinase	13	13
K02206	transferase	13	13
K02207	transferase	6	6
K02208	kinase	31	31
K02208	serine_threonine_kinase	31	31
K02208	transferase	31	31
K02209	atp_binding	12	12
K02209	atpase	12	12
K02209	hydrolase	12	12
K02210	atp_binding	11	11
K02210	atpase	11	11
K02210	hydrolase	11	11
K02211	kinase	10	10
K02211	serine_threonine_kinase	10	10
K02211	transferase	10	10
K02212	atp_binding	10	10
K02212	atpase	10	10
K02212	hydrolase	10	10
K02214	kinase	10	10
K02214	serine_threonine_kinase	10	10
K02214	transferase	10	10
K02216	kinase	11	11
K02216	serine_threonine_kinase	11	11
K02216	transferase	11	11
K02217	metal_binding	23	24
K02217	oxidoreductase	23	24
K02218	kinase	16	16
K02218	serine_threonine_kinase	16	16
K02218	transferase	16	16
K02224	ligase	55	55
K02224	synthetase	55	55
K02233	transferase	245	245
K02256	electron_transport	58	60
K02256	translocase	58	60
K02256	transporter	58	60
K02257	transferase	537	537
K02259	oxidoreductase	165	165
K02261	electron_transport	61	61
K02261	translocase	61	61
K02261	transporter	61	61
K02262	electron_transport	51	51
K02262	translocase	51	51
K02262	transporter	51	51
K02274	electron_transport	25	25
K02274	translocase	25	25
K02274	transporter	25	25
K02275	electron_transport	20	21
K02275	translocase	20	21
K02275	transporter	20	21
K02276	electron_transport	18	18
K02276	translocase	18	18
K02276	transporter	18	18
K02288	lyase	5	5
K02291	transferase	16	17
K02293	oxidoreductase	7	7
K02298	electron_transport	8	8
K02298	translocase	8	8
K02298	transporter	8	8
K02302	lyase	140	140
K02302	methyltransferase	140	140
K02302	nad_binding	140	140
K02302	oxidoreductase	140	140
K02302	transferase	140	140
K02303	methyltransferase	8	8
K02303	transferase	8	8
K02314	isomerase	31	31
K02315	atp_binding	7	7
K02315	atpase	7	7
K02315	hydrolase	7	7
K02316	nucleotidyltransferase	116	118
K02316	transferase	116	118
K02319	nucleotidyltransferase	15	15
K02319	transferase	15	15
K02320	nucleotidyltransferase	9	9
K02320	transferase	9	9
K02322	exonuclease	32	32
K02322	hydrolase	32	32
K02322	nuclease	32	32
K02322	nucleotidyltransferase	32	32
K02322	transferase	32	32
K02323	exonuclease	9	9
K02323	hydrolase	9	9
K02323	nuclease	9	9
K02323	nucleotidyltransferase	9	9
K02323	transferase	9	9
K02324	nucleotidyltransferase	18	18
K02324	transferase	18	18
K02327	nucleotidyltransferase	12	12
K02327	transferase	12	12
K02330	lyase	5	5
K02330	nucleotidyltransferase	5	5
K02330	transferase	5	5
K02332	nucleotidyltransferase	7	7
K02332	transferase	7	7
K02335	nucleotidyltransferase	23	23
K02335	transferase	23	23
K02337	nucleotidyltransferase	63	63
K02337	transferase	63	63
K02340	nucleotidyltransferase	11	13
K02340	transferase	11	13
K02342	nucleotidyltransferase	16	18
K02342	transferase	16	18
K02343	nucleotidyltransferase	12	12
K02343	transferase	12	12
K02346	nucleotidyltransferase	214	216
K02346	transferase	214	216
K02350	nucleotidyltransferase	6	6
K02350	stress_response	6	6
K02350	transferase	6	6
K02352	esterase	13	13
K02352	hydrolase	13	13
K02358	gtp_binding	745	748
K02358	hydrolase	745	748
K02361	isomerase	6	6
K02361	mutase	6	6
K02362	transferase	6	6
K02363	ligase	5	5
K02363	synthetase	5	5
K02365	cysteine_protease	7	7
K02365	hydrolase	7	7
K02365	protease	7	7
K02366	glycosyltransferase	7	8
K02366	transferase	7	8
K02372	dehydratase	563	564
K02372	lyase	563	564
K02377	dehydrogenase	14	14
K02377	nad_binding	14	14
K02377	oxidoreductase	14	14
K02412	translocase	16	17
K02412	transporter	16	17
K02427	methyltransferase	408	408
K02427	transferase	408	408
K02431	isomerase	59	59
K02431	racemase	59	59
K02433	amidase	595	595
K02433	hydrolase	595	595
K02434	ligase	611	611
K02434	synthetase	611	611
K02438	carbohydrate_active	62	62
K02438	glycosidase	62	62
K02438	hydrolase	62	62
K02439	sulfurtransferase	110	110
K02439	transferase	110	110
K02441	hydrolase	59	60
K02441	peptidase	59	60
K02441	protease	59	60
K02446	hydrolase	17	17
K02446	phosphatase	17	17
K02449	kinase	5	5
K02449	serine_threonine_kinase	5	5
K02449	transferase	5	5
K02467	isomerase	6	6
K02469	isomerase	72	72
K02470	isomerase	73	74
K02472	dehydrogenase	14	14
K02472	nad_binding	14	14
K02472	oxidoreductase	14	14
K02492	nad_binding	569	569
K02492	oxidoreductase	569	569
K02493	methyltransferase	82	82
K02493	transferase	82	82
K02495	oxidoreductase	16	18
K02500	lyase	608	608
K02501	amidase	259	259
K02501	hydrolase	259	259
K02501	lyase	259	259
K02510	lyase	35	35
K02513	sulfurtransferase	7	7
K02513	transferase	7	7
K02514	sulfurtransferase	5	5
K02514	transferase	5	5
K02516	methyltransferase	12	12
K02516	transferase	12	12
K02527	glycosyltransferase	17	18
K02527	transferase	18	18
K02528	methyltransferase	652	652
K02528	transferase	652	652
K02535	amidase	315	315
K02535	hydrolase	315	315
K02536	transferase	324	324
K02537	regulator	7	8
K02537	regulatory	7	8
K02540	atp_binding	9	9
K02540	atpase	9	9
K02540	hydrolase	9	9
K02541	atp_binding	15	15
K02541	atpase	15	15
K02541	hydrolase	15	15
K02542	atp_binding	18	18
K02542	atpase	18	18
K02542	hydrolase	18	18
K02543	kinase	5	5
K02543	serine_threonine_kinase	5	5
K02543	transferase	5	5
K02548	transferase	6	6
K02549	dehydratase	89	89
K02549	lyase	89	89
K02551	transferase	261	261
K02552	isomerase	7	7
K02552	mutase	7	7
K02554	dehydratase	19	20
K02554	lyase	20	20
K02563	glycosyltransferase	682	682
K02563	transferase	682	682
K02564	hydrolase	281	282
K02567	heme_binding	133	133
K02567	oxidoreductase	133	133
K02576	hydrolase	6	6
K02576	sulfurtransferase	6	6
K02576	transferase	6	6
K02585	lyase	7	8
K02586	oxidoreductase	9	9
K02588	oxidoreductase	72	72
K02591	oxidoreductase	10	10
K02599	regulator	8	8
K02599	regulatory	8	8
K02599	signaling	7	8
K02621	isomerase	32	32
K02622	isomerase	30	30
K02626	decarboxylase	43	43
K02626	lyase	43	43
K02636	electron_transport	44	44
K02636	translocase	44	44
K02636	transporter	44	44
K02641	nad_binding	16	16
K02641	oxidoreductase	16	16
K02654	hydrolase	10	10
K02654	methyltransferase	9	10
K02654	peptidase	10	10
K02654	protease	10	10
K02654	transferase	9	10
K02677	kinase	14	14
K02677	serine_threonine_kinase	14	14
K02677	transferase	14	14
K02683	nucleotidyltransferase	54	54
K02683	transferase	54	54
K02684	nucleotidyltransferase	7	7
K02684	transferase	7	7
K02687	methyltransferase	465	465
K02687	transferase	465	465
K02689	oxidoreductase	59	59
K02690	oxidoreductase	55	55
K02691	oxidoreductase	67	67
K02703	oxidoreductase	90	90
K02706	oxidoreductase	57	57
K02737	hydrolase	11	11
K02737	peptidase	11	11
K02737	protease	11	11
K02738	hydrolase	11	11
K02738	peptidase	11	11
K02738	protease	11	11
K02739	hydrolase	10	10
K02739	peptidase	10	10
K02739	protease	10	10
K02740	hydrolase	5	5
K02740	peptidase	5	5
K02740	protease	5	5
K02741	hydrolase	5	5
K02741	peptidase	5	5
K02741	protease	5	5
K02760	atp_binding	7	7
K02760	kinase	7	7
K02760	transferase	7	7
K02770	atp_binding	7	8
K02770	kinase	7	8
K02770	transferase	7	8
K02774	atp_binding	5	5
K02774	kinase	5	5
K02774	transferase	5	5
K02779	atp_binding	7	7
K02779	kinase	7	7
K02779	transferase	7	7
K02788	atp_binding	10	10
K02788	kinase	10	10
K02788	transferase	10	10
K02794	atp_binding	5	5
K02794	kinase	5	5
K02794	transferase	5	5
K02800	atp_binding	23	23
K02800	kinase	23	23
K02800	transferase	23	23
K02810	atp_binding	19	19
K02810	kinase	19	19
K02810	transferase	19	19
K02822	atp_binding	12	12
K02822	kinase	12	12
K02822	transferase	12	12
K02825	glycosyltransferase	193	195
K02825	transferase	193	195
K02826	oxidoreductase	18	18
K02827	oxidoreductase	15	15
K02828	oxidoreductase	15	15
K02829	oxidoreductase	15	15
K02843	glycosyltransferase	6	6
K02843	transferase	6	6
K02846	oxidoreductase	49	49
K02851	transferase	16	16
K02852	glycosyltransferase	62	62
K02852	transferase	62	62
K02857	hydrolase	7	8
K02857	peptidase	7	8
K02857	protease	7	8
K02858	lyase	148	148
K02999	nucleotidyltransferase	8	8
K02999	transferase	8	8
K03002	nucleotidyltransferase	12	12
K03002	transferase	12	12
K03006	nucleotidyltransferase	14	14
K03006	transferase	14	14
K03010	nucleotidyltransferase	14	14
K03010	transferase	14	14
K03012	rna_polymerase	7	8
K03018	nucleotidyltransferase	9	9
K03018	transferase	9	9
K03021	nucleotidyltransferase	7	7
K03021	transferase	7	7
K03040	nucleotidyltransferase	665	665
K03040	transferase	665	665
K03041	nucleotidyltransferase	10	10
K03041	transferase	10	10
K03042	nucleotidyltransferase	36	36
K03042	transferase	36	36
K03043	nucleotidyltransferase	741	741
K03043	transferase	741	741
K03044	nucleotidyltransferase	7	7
K03044	transferase	7	7
K03045	nucleotidyltransferase	6	6
K03045	transferase	6	6
K03046	nucleotidyltransferase	779	779
K03046	transferase	779	779
K03047	nucleotidyltransferase	34	34
K03047	transferase	34	34
K03053	nucleotidyltransferase	46	46
K03053	transferase	46	46
K03055	nucleotidyltransferase	28	28
K03055	transferase	28	28
K03056	nucleotidyltransferase	45	45
K03056	transferase	45	45
K03058	nucleotidyltransferase	55	55
K03058	transferase	55	55
K03059	nucleotidyltransferase	33	33
K03059	transferase	33	33
K03060	nucleotidyltransferase	645	645
K03060	transferase	645	645
K03070	translocase	793	793
K03070	transporter	793	793
K03077	isomerase	40	40
K03077	racemase	40	40
K03078	decarboxylase	42	42
K03078	lyase	42	42
K03079	isomerase	42	42
K03079	racemase	42	42
K03083	kinase	15	15
K03083	serine_threonine_kinase	15	15
K03083	transferase	15	15
K03097	kinase	25	25
K03097	serine_threonine_kinase	25	25
K03097	transferase	25	25
K03100	hydrolase	41	47
K03100	peptidase	41	47
K03100	protease	41	47
K03101	hydrolase	415	415
K03101	peptidase	415	415
K03101	protease	415	415
K03103	hydrolase	7	7
K03103	phosphatase	7	7
K03106	gtp_binding	95	95
K03106	hydrolase	95	95
K03110	gtp_binding	37	38
K03110	hydrolase	37	38
K03134	transcription	7	8
K03146	glycosyltransferase	25	25
K03146	transferase	25	25
K03147	lyase	432	432
K03149	sulfurtransferase	386	386
K03149	transferase	386	386
K03151	sulfurtransferase	286	286
K03151	transferase	286	286
K03163	isomerase	17	17
K03164	isomerase	19	20
K03165	isomerase	14	14
K03166	isomerase	18	18
K03167	isomerase	32	32
K03168	isomerase	64	64
K03169	isomerase	28	28
K03170	isomerase	23	23
K03175	transferase	10	10
K03177	isomerase	497	497
K03177	mutase	497	497
K03178	ligase	10	10
K03178	synthetase	10	10
K03179	transferase	222	222
K03181	lyase	145	145
K03182	decarboxylase	149	156
K03182	lyase	149	156
K03183	methyltransferase	379	380
K03183	transferase	379	380
K03186	transferase	32	32
K03196	atp_binding	8	8
K03196	atpase	8	8
K03196	hydrolase	8	8
K03199	atp_binding	7	7
K03199	atpase	7	7
K03199	hydrolase	7	7
K03207	hydrolase	5	5
K03212	methyltransferase	99	99
K03212	transferase	99	99
K03215	methyltransferase	229	229
K03215	transferase	229	229
K03216	methyltransferase	24	24
K03216	transferase	24	24
K03218	methyltransferase	70	70
K03218	transferase	70	70
K03224	translocase	5	5
K03224	transporter	5	5
K03235	atp_binding	12	13
K03235	atpase	12	13
K03235	hydrolase	12	13
K03242	gtp_binding	43	43
K03242	hydrolase	43	43
K03257	atp_binding	55	55
K03257	atpase	55	55
K03257	hydrolase	55	55
K03269	hydrolase	161	161
K03270	hydrolase	9	9
K03270	phosphatase	9	9
K03271	isomerase	206	207
K03272	atp_binding	196	196
K03272	kinase	196	196
K03272	nucleotidyltransferase	196	196
K03272	transferase	196	196
K03273	hydrolase	32	33
K03273	phosphatase	32	33
K03274	isomerase	155	155
K03274	racemase	155	155
K03330	ligase	43	43
K03330	synthetase	43	43
K03331	dehydrogenase	7	7
K03331	nad_binding	7	7
K03331	oxidoreductase	7	7
K03335	dehydratase	37	37
K03335	lyase	37	37
K03336	hydrolase	24	24
K03337	isomerase	12	12
K03338	atp_binding	30	30
K03338	kinase	30	30
K03338	transferase	30	30
K03339	lyase	5	5
K03341	transferase	12	12
K03366	dehydrogenase	9	9
K03366	nad_binding	9	9
K03366	oxidoreductase	9	9
K03367	ligase	70	70
K03367	synthetase	70	70
K03370	glycosyltransferase	5	5
K03370	transferase	5	5
K03371	glycosyltransferase	6	6
K03371	transferase	6	6
K03377	transferase	9	9
K03383	amidase	9	11
K03383	enzyme	9	11
K03383	hydrolase	11	11
K03385	nitrogen_metabolism	77	77
K03385	oxidoreductase	77	77
K03386	oxidoreductase	60	60
K03386	peroxidase	60	60
K03387	nad_binding	13	14
K03387	oxidoreductase	13	14
K03387	sulfur_metabolism	13	14
K03388	oxidoreductase	8	8
K03388	sulfur_metabolism	8	8
K03389	oxidoreductase	10	10
K03389	sulfur_metabolism	10	10
K03390	oxidoreductase	10	10
K03390	sulfur_metabolism	10	10
K03392	decarboxylase	6	6
K03392	lyase	6	6
K03396	lyase	22	22
K03403	ligase	5	5
K03405	ligase	10	11
K03407	sensor_kinase	12	12
K03407	transferase	12	12
K03407	two_component	12	12
K03411	amidase	155	155
K03411	hydrolase	155	155
K03412	amidase	206	207
K03412	esterase	207	207
K03412	hydrolase	207	207
K03414	hydrolase	20	20
K03414	phosphatase	20	20
K03417	lyase	9	9
K03420	hydrolase	35	35
K03424	hydrolase	58	58
K03426	hydrolase	109	109
K03427	dna_methylase	8	8
K03427	methyltransferase	8	8
K03427	transferase	8	8
K03429	glycosyltransferase	38	38
K03429	transferase	38	38
K03430	aminotransferase	79	79
K03430	plp_binding	79	79
K03430	transferase	79	79
K03431	isomerase	679	679
K03431	mutase	679	679
K03433	hydrolase	178	178
K03433	peptidase	178	178
K03433	protease	178	178
K03434	amidase	8	8
K03434	hydrolase	8	8
K03438	methyltransferase	831	831
K03438	transferase	831	831
K03439	methyltransferase	537	537
K03439	transferase	537	537
K03462	glycosyltransferase	8	8
K03462	transferase	8	8
K03465	methyltransferase	77	77
K03465	transferase	77	77
K03469	endonuclease	338	341
K03469	hydrolase	339	341
K03469	nuclease	338	341
K03469	rnase	338	341
K03470	endonuclease	690	690
K03470	hydrolase	690	690
K03470	nuclease	690	690
K03470	rnase	690	690
K03471	endonuclease	93	93
K03471	hydrolase	93	93
K03471	nuclease	93	93
K03471	rnase	93	93
K03472	nad_binding	92	92
K03472	oxidoreductase	92	92
K03473	dehydrogenase	151	151
K03473	nad_binding	151	151
K03473	oxidoreductase	151	151
K03474	transferase	255	255
K03476	esterase	38	38
K03476	hydrolase	38	38
K03478	amidase	54	54
