# EC numbers whose ENZYME reaction consumes S-adenosyl-L-methionine; generated by scripts/build_ec_sam_table.py from enzyme.dat sha256 6e1f553fcaa15ba7 (Expasy ENZYME, CC BY 4.0)
# ec	name
2.1.1.129	inositol 4-methyltransferase
2.1.1.130	precorrin-2 C(20)-methyltransferase
2.1.1.131	precorrin-3B C(17)-methyltransferase
2.1.1.132	precorrin-6B C(5,15)-methyltransferase (decarboxylating)
2.1.1.133	precorrin-4 C(11)-methyltransferase
2.1.1.136	chlorophenol O-methyltransferase
2.1.1.139	3'-demethylstaurosporine O-methyltransferase
2.1.1.140	(S)-coclaurine-N-methyltransferase
2.1.1.141	jasmonate O-methyltransferase
2.1.1.142	cycloartenol 24-C-methyltransferase
2.1.1.143	24-methylenesterol C-methyltransferase
2.1.1.144	trans-aconitate 2-methyltransferase
2.1.1.145	trans-aconitate 3-methyltransferase
2.1.1.146	(iso)eugenol O-methyltransferase
2.1.1.147	corydaline synthase
2.1.1.150	isoflavone 7-O-methyltransferase
2.1.1.151	cobalt-factor II C(20)-methyltransferase
2.1.1.152	precorrin-6A synthase (deacetylating)
2.1.1.153	vitexin 2''-O-rhamnoside 7-O-methyltransferase
2.1.1.154	isoliquiritigenin 2'-O-methyltransferase
2.1.1.155	kaempferol 4'-O-methyltransferase
2.1.1.156	glycine/sarcosine N-methyltransferase
2.1.1.157	sarcosine/dimethylglycine N-methyltransferase
2.1.1.158	7-methylxanthosine synthase
2.1.1.159	theobromine synthase
2.1.1.160	caffeine synthase
2.1.1.161	dimethylglycine N-methyltransferase
2.1.1.162	glycine/sarcosine/dimethylglycine N-methyltransferase
2.1.1.163	demethylmenaquinone methyltransferase
2.1.1.164	demethylrebeccamycin-D-glucose O-methyltransferase
2.1.1.165	methyl halide transferase
2.1.1.166	23S rRNA (uridine(2552)-2'-O)-methyltransferase
2.1.1.167	27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase
2.1.1.168	21S rRNA (uridine(2791)-2'-O)-methyltransferase
2.1.1.169	tricetin 3',4',5'-O-trimethyltransferase
2.1.1.170	16S rRNA (guanine(527)-N(7))-methyltransferase
2.1.1.171	16S rRNA (guanine(966)-N(2))-methyltransferase
2.1.1.172	16S rRNA (guanine(1207)-N(2))-methyltransferase
2.1.1.173	23S rRNA (guanine(2445)-N(2))-methyltransferase
2.1.1.174	23S rRNA (guanine(1835)-N(2))-methyltransferase
2.1.1.175	tricin synthase
2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase
2.1.1.177	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase
2.1.1.178	16S rRNA (cytosine(1407)-C(5))-methyltransferase
2.1.1.179	16S rRNA (guanine(1405)-N(7))-methyltransferase
2.1.1.180	16S rRNA (adenine(1408)-N(1))-methyltransferase
2.1.1.181	23S rRNA (adenine(1618)-N(6))-methyltransferase
2.1.1.182	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
2.1.1.183	18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase
2.1.1.184	23S rRNA (adenine(2085)-N(6))-dimethyltransferase
